StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q22,Q23,Q16_1,Q16_2,Q16_3,Q16_4,Q16_6,Q16_6_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_6_TEXT,Q21
2022-10-17 10:09:01,2022-10-17 10:09:54,IP Address,*******,100,53,True,2022-10-17 10:09:55,R_1LIHyStzz8ggn9T,*******,*******,*******,*******,*******,*******,anonymous,EN,mm2577,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,
2022-10-17 10:31:04,2022-10-17 10:32:33,IP Address,*******,100,89,True,2022-10-17 10:32:34,R_3systiiBTgyQdcx,*******,*******,*******,*******,*******,*******,anonymous,EN,arb338,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,Add a @TA feature to ask for TAs' opinions,,,,,,N/A
2022-10-17 10:31:24,2022-10-17 10:33:24,IP Address,*******,100,119,True,2022-10-17 10:33:24,R_1luiPBnXKaWahuz,*******,*******,*******,*******,*******,*******,anonymous,EN,hys22,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,Default post order in “community” page should be organized by random rather than by time,,,,,,,
2022-10-17 11:27:58,2022-10-17 11:29:13,IP Address,*******,100,75,True,2022-10-17 11:29:13,R_125rSj3YYTMDQCy,*******,*******,*******,*******,*******,*******,anonymous,EN,tvf6,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,Default post order in “community” page should be organized by random rather than by time,,,,,,,
2022-10-17 11:39:26,2022-10-17 11:41:39,IP Address,*******,100,132,True,2022-10-17 11:41:39,R_1Or9IhwCjvV9hOi,*******,*******,*******,*******,*******,*******,anonymous,EN,jor22,Yes,I was automatically logged out,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,,,,,"Others, please specify",NA,,,,,,"Others, please specify",NA,I think this is a really cool project. Keep up the good work!
2022-10-17 11:56:20,2022-10-17 11:58:15,IP Address,*******,100,114,True,2022-10-17 11:58:15,R_2E7csjcvxi9hOhR,*******,*******,*******,*******,*******,*******,anonymous,EN,sjw258,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,,,Add links to profiles of whom left comments,,,,Nope!
2022-10-17 11:57:26,2022-10-17 11:59:48,IP Address,*******,100,142,True,2022-10-17 11:59:49,R_1KgaJ5fCaonooaq,*******,*******,*******,*******,*******,*******,anonymous,EN,"mg2265 ",No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,Default post order in “community” page should be organized by random rather than by time,Add a @TA feature to ask for TAs' opinions,Add a @peers feature to ask for peers' opinions,,,,,N/A
2022-10-17 12:36:11,2022-10-17 12:40:35,IP Address,*******,100,264,True,2022-10-17 12:40:36,R_1IQtgRJplZ7rvyP,*******,*******,*******,*******,*******,*******,anonymous,EN,hes222,Yes,"I submitted a post for 10/10 and it uploaded and someone left me a comment on it and then on Sunday 10/16 when I checked it was not uploaded (self deleted) and I had to repost late. ",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,"The posts can be deleted. "
2022-10-17 14:27:36,2022-10-17 14:29:11,IP Address,*******,100,94,True,2022-10-17 14:29:11,R_2SccgVOEZdQMR0R,*******,*******,*******,*******,*******,*******,anonymous,EN,xw593,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,
2022-10-17 18:05:37,2022-10-17 18:07:08,IP Address,*******,100,91,True,2022-10-17 18:07:08,R_2CU55xwgCsmRDBe,*******,*******,*******,*******,*******,*******,anonymous,EN,alm384,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,Default post order in “community” page should be organized by random rather than by time,,,Add links to profiles of whom left comments,,,,n/a
2022-10-17 19:10:47,2022-10-17 19:12:30,IP Address,*******,100,102,True,2022-10-17 19:12:30,R_3lXFyeJ6Zt217aN,*******,*******,*******,*******,*******,*******,anonymous,EN,lsg85,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,,,Add links to profiles of whom left comments,,,,
2022-10-17 20:49:36,2022-10-17 20:50:19,IP Address,*******,100,42,True,2022-10-17 20:50:19,R_3KqZtJLNG291OhG,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,,Add a @peers feature to ask for peers' opinions,,,,,
2022-10-17 21:37:29,2022-10-17 21:38:30,IP Address,*******,100,61,True,2022-10-17 21:38:31,R_3sBlWrx4hI5BovP,*******,*******,*******,*******,*******,*******,anonymous,EN,si226,Yes,"cannot upload photos on computer but can on phone ",Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,
2022-10-18 07:21:26,2022-10-18 07:23:05,IP Address,*******,100,99,True,2022-10-18 07:23:06,R_1KcA3ZQ5KYknz3r,*******,*******,*******,*******,*******,*******,anonymous,EN,dgh82,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,Add a @TA feature to ask for TAs' opinions,Add a @peers feature to ask for peers' opinions,,Add a filter to only see posts by friends,,,
2022-10-18 07:24:27,2022-10-18 07:35:58,IP Address,*******,100,690,True,2022-10-18 07:35:58,R_XHYFtAf73p4kLkJ,*******,*******,*******,*******,*******,*******,anonymous,EN,ect62,Yes,"I am unable to upload images from my computer. When I click to upload, nothing happens.",Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add a @TA feature to ask for TAs' opinions,,Add links to profiles of whom left comments,Add a filter to only see posts by friends,,,
2022-10-18 08:07:22,2022-10-18 08:12:28,IP Address,*******,100,305,True,2022-10-18 08:12:28,R_2teUbHiSBv9xTp2,*******,*******,*******,*******,*******,*******,anonymous,EN,dmf233,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,Default post order in “community” page should be organized by random rather than by time,,,,,,,no
2022-10-18 10:22:12,2022-10-18 10:23:54,IP Address,*******,100,101,True,2022-10-18 10:23:54,R_2xPPy8XEaiV8pkW,*******,*******,*******,*******,*******,*******,anonymous,EN,mkc232,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,Default post order in “community” page should be organized by random rather than by time,,,,,,,
2022-10-18 10:27:03,2022-10-18 10:29:07,IP Address,*******,100,123,True,2022-10-18 10:29:08,R_2aLip1LBlr81ZDX,*******,*******,*******,*******,*******,*******,anonymous,EN,yl3262,No,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,
2022-10-18 10:48:52,2022-10-18 10:50:13,IP Address,*******,100,81,True,2022-10-18 10:50:14,R_26hv2cCY2foIsav,*******,*******,*******,*******,*******,*******,anonymous,EN,ceb338,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,,,Add links to profiles of whom left comments,,,,
2022-10-18 13:05:19,2022-10-18 13:06:56,IP Address,*******,100,96,True,2022-10-18 13:06:56,R_r9CW5mPX2Xpe9rj,*******,*******,*******,*******,*******,*******,anonymous,EN,cjy27,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,,,Add links to profiles of whom left comments,,,,
2022-10-18 13:27:52,2022-10-18 13:30:23,IP Address,*******,100,151,True,2022-10-18 13:30:23,R_2tGo8cSOlaFp6S1,*******,*******,*******,*******,*******,*******,anonymous,EN,wy87,No,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,Default post order in “community” page should be organized by random rather than by time,Add a @TA feature to ask for TAs' opinions,Add a @peers feature to ask for peers' opinions,,,,,n/a
2022-10-18 13:51:44,2022-10-18 14:04:12,IP Address,*******,100,747,True,2022-10-18 14:04:12,R_1QgCDV4BCYHhGdZ,*******,*******,*******,*******,*******,*******,anonymous,EN,sd697,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,,,Add links to profiles of whom left comments,,,,
2022-10-18 14:57:08,2022-10-18 15:02:16,IP Address,*******,100,308,True,2022-10-18 15:02:17,R_2D0vEmcWEThqcsh,*******,*******,*******,*******,*******,*******,anonymous,EN,bt283,Yes,I think it would be good if the comment cleared once you posted it.,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,nope
2022-10-18 16:24:48,2022-10-18 16:26:19,IP Address,*******,100,91,True,2022-10-18 16:26:20,R_tWijehg0KwRY02l,*******,*******,*******,*******,*******,*******,anonymous,EN,iym4,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,,,Add links to profiles of whom left comments,,,,
2022-10-18 19:36:01,2022-10-18 19:39:28,IP Address,*******,100,206,True,2022-10-18 19:39:28,R_2SJfgs8ziEPsWsu,*******,*******,*******,*******,*******,*******,anonymous,EN,cql2,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,,Add a @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,,
2022-10-19 05:59:04,2022-10-19 06:16:34,IP Address,*******,100,1049,True,2022-10-19 06:16:35,R_1InqXkHefTlCFfY,*******,*******,*******,*******,*******,*******,anonymous,EN,jta52,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,,,Add links to profiles of whom left comments,,,,
2022-10-19 06:42:27,2022-10-19 06:44:25,IP Address,*******,100,117,True,2022-10-19 06:44:25,R_2w4cytRzZEtXhGo,*******,*******,*******,*******,*******,*******,anonymous,EN,lyl26,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,Add a @TA feature to ask for TAs' opinions,,,,,,
2022-10-19 07:32:13,2022-10-19 07:33:41,IP Address,*******,100,87,True,2022-10-19 07:33:41,R_3GeTnj8xUJrlGx4,*******,*******,*******,*******,*******,*******,anonymous,EN,emf227,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,Add a @TA feature to ask for TAs' opinions,Add a @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,,
2022-10-19 08:09:03,2022-10-19 08:15:10,IP Address,*******,100,367,True,2022-10-19 08:15:11,R_3Ldu3qvjLZjFtDb,*******,*******,*******,*******,*******,*******,anonymous,EN,ama386,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,Add a @TA feature to ask for TAs' opinions,,,,,,
