StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q22,Q23,Q16_1,Q16_4,Q16_2,Q16_6,Q16_6_TEXT,Q17_1,Q17_3,Q17_4,Q17_6,Q17_6_TEXT,Q21
2022-11-07 08:36:12,2022-11-07 08:36:42,IP Address,*******,100,30,True,2022-11-07 08:36:43,R_2pYb1zCGWqIp9co,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,
2022-11-07 09:14:55,2022-11-07 09:16:05,IP Address,*******,100,69,True,2022-11-07 09:16:05,R_2VLb03UjNSwiEfL,*******,*******,*******,*******,*******,*******,anonymous,EN,alm384,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-07 09:14:47,2022-11-07 09:19:57,IP Address,*******,100,309,True,2022-11-07 09:19:57,R_OEhFanlPw1MMeuB,*******,*******,*******,*******,*******,*******,anonymous,EN,smg377,Yes,"Image wouldn't upload on my laptop, had to use my iPhone",Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-07 09:24:04,2022-11-07 09:25:30,IP Address,*******,100,85,True,2022-11-07 09:25:30,R_1PTr40coAeC1Ccb,*******,*******,*******,*******,*******,*******,anonymous,EN,dbl67,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 09:57:19,2022-11-07 09:58:47,IP Address,*******,100,88,True,2022-11-07 09:58:47,R_2TsZltIxdAxJHsW,*******,*******,*******,*******,*******,*******,anonymous,EN,mrl253,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-07 08:22:57,2022-11-07 10:43:41,IP Address,*******,100,8443,True,2022-11-07 10:43:41,R_R9N1kRxuOCRMLC1,*******,*******,*******,*******,*******,*******,anonymous,EN,jta52,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-07 10:46:25,2022-11-07 10:48:01,IP Address,*******,100,95,True,2022-11-07 10:48:01,R_AEXeU9tQhUwrweR,*******,*******,*******,*******,*******,*******,anonymous,EN,Na427,No,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,
2022-11-07 11:22:21,2022-11-07 11:24:06,IP Address,*******,100,105,True,2022-11-07 11:24:06,R_STbu1IZqmM1GNix,*******,*******,*******,*******,*******,*******,anonymous,EN,tvf6,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 12:06:51,2022-11-07 12:09:07,IP Address,*******,100,135,True,2022-11-07 12:09:07,R_3fjUN9KyvrCl1S3,*******,*******,*******,*******,*******,*******,anonymous,EN,ama386,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-07 12:11:13,2022-11-07 12:13:33,IP Address,*******,100,140,True,2022-11-07 12:13:33,R_1g1poB0eBvG0jv2,*******,*******,*******,*******,*******,*******,anonymous,EN,wc465,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 13:10:50,2022-11-07 13:13:34,IP Address,*******,100,163,True,2022-11-07 13:13:34,R_22rYwsHIOKJlrbZ,*******,*******,*******,*******,*******,*******,anonymous,EN,eew64,No,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,"Others, please specify",none of the above,,,,"Others, please specify",organize posts in community page by topic,
2022-11-07 13:13:27,2022-11-07 13:16:54,IP Address,*******,100,206,True,2022-11-07 13:16:54,R_1CwF0dwyKfagmAO,*******,*******,*******,*******,*******,*******,anonymous,EN,eay28,No,,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 16:06:37,2022-11-07 16:07:55,IP Address,*******,100,77,True,2022-11-07 16:07:55,R_2Ce9kulvNdw7UIT,*******,*******,*******,*******,*******,*******,anonymous,EN,crd229,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,n/a
2022-11-07 18:28:33,2022-11-07 18:30:36,IP Address,*******,100,123,True,2022-11-07 18:30:36,R_6VzdrVwkHURy4Pn,*******,*******,*******,*******,*******,*******,anonymous,EN,rmb358,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-08 08:30:47,2022-11-08 08:32:57,IP Address,*******,100,130,True,2022-11-08 08:32:57,R_3inhjBLBVq2ES6b,*******,*******,*******,*******,*******,*******,anonymous,EN,sjw258,No,,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,Nope!
2022-11-08 08:30:53,2022-11-08 08:34:11,IP Address,*******,100,197,True,2022-11-08 08:34:11,R_xnps2yYj99Xxdx7,*******,*******,*******,*******,*******,*******,anonymous,EN,dmf233,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,no
2022-11-08 10:39:14,2022-11-08 10:40:39,IP Address,*******,100,85,True,2022-11-08 10:40:40,R_55D00nD5qOdh75D,*******,*******,*******,*******,*******,*******,anonymous,EN,lyl26,Yes,Couldn't see other people's recent posts,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-08 11:43:27,2022-11-08 11:48:57,IP Address,*******,100,329,True,2022-11-08 11:48:58,R_2xyqvnF5qIiicLd,*******,*******,*******,*******,*******,*******,anonymous,EN,kmt224,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,n/a
2022-11-08 15:50:43,2022-11-08 16:00:41,IP Address,*******,100,597,True,2022-11-08 16:00:41,R_1f7dsLPAj3fdoYh,*******,*******,*******,*******,*******,*******,anonymous,EN,hes222,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,"Others, please specify",none,,,Add links to profiles of whom left comments,,,no
2022-11-08 20:10:46,2022-11-08 20:11:53,IP Address,*******,100,67,True,2022-11-08 20:11:53,R_3qfLPMqnx4j4Avb,*******,*******,*******,*******,*******,*******,anonymous,EN,Mc2594,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,Add links to profiles of whom left comments,,,
2022-11-07 14:28:48,2022-11-09 15:52:01,IP Address,*******,100,177792,True,2022-11-09 15:52:01,R_2arFf0R6iH6JAg6,*******,*******,*******,*******,*******,*******,anonymous,EN,vas57,No,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,N/A
2022-11-09 16:42:10,2022-11-09 16:44:02,IP Address,*******,100,112,True,2022-11-09 16:44:02,R_tVC7UUOcVwXAcLv,*******,*******,*******,*******,*******,*******,anonymous,EN,eam358,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-09 22:17:40,2022-11-09 22:19:22,IP Address,*******,100,101,True,2022-11-09 22:19:22,R_11X7xzTwpzpbZly,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,,Add links to profiles of whom left comments,,,
2022-11-10 14:00:45,2022-11-10 14:01:26,IP Address,*******,100,40,True,2022-11-10 14:01:26,R_esoELsdZF732Fsl,*******,*******,*******,*******,*******,*******,anonymous,EN,mtq6,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-10 14:01:54,2022-11-10 14:04:25,IP Address,*******,100,150,True,2022-11-10 14:04:25,R_rcE1h9PlSLxNrTr,*******,*******,*******,*******,*******,*******,anonymous,EN,smf267,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-10 14:31:39,2022-11-10 14:33:20,IP Address,*******,100,101,True,2022-11-10 14:33:20,R_1rc9eZRvCPcF38v,*******,*******,*******,*******,*******,*******,anonymous,EN,jk2384,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,Should randomly comment to posts in the same topic,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,
2022-11-10 19:43:20,2022-11-10 19:45:54,IP Address,*******,100,154,True,2022-11-10 19:45:54,R_115CyzBgycMEC2l,*******,*******,*******,*******,*******,*******,anonymous,EN,rnp36,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-10 23:18:05,2022-11-10 23:19:08,IP Address,*******,100,62,True,2022-11-10 23:19:08,R_3GqgXflq6EaUgJN,*******,*******,*******,*******,*******,*******,anonymous,EN,plz8,No,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-11 09:00:30,2022-11-11 09:02:12,IP Address,*******,100,102,True,2022-11-11 09:02:12,R_2xFePYbFj7y7wOu,*******,*******,*******,*******,*******,*******,anonymous,EN,sd697,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-11 09:01:10,2022-11-11 09:02:20,IP Address,*******,100,70,True,2022-11-11 09:02:20,R_1K1MdZeS9F0AHMp,*******,*******,*******,*******,*******,*******,anonymous,EN,Ceb338,No,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 09:01:13,2022-11-11 09:02:23,IP Address,*******,100,69,True,2022-11-11 09:02:23,R_2aEsDYJ5gue4elr,*******,*******,*******,*******,*******,*******,anonymous,EN,lsg85,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,"Others, please specify",N/A,,,Add links to profiles of whom left comments,,,
2022-11-11 09:01:10,2022-11-11 09:02:38,IP Address,*******,100,88,True,2022-11-11 09:02:38,R_x4J1CifHUChyy53,*******,*******,*******,*******,*******,*******,anonymous,EN,nae36,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,Add links to profiles of whom left comments,,,
2022-11-11 09:01:09,2022-11-11 09:02:39,IP Address,*******,100,90,True,2022-11-11 09:02:39,R_24RiNrAl3ffiget,*******,*******,*******,*******,*******,*******,anonymous,EN,arb338,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,n/a
2022-11-11 09:01:34,2022-11-11 09:03:29,IP Address,*******,100,115,True,2022-11-11 09:03:29,R_3m4tDo0kLBJDxXo,*******,*******,*******,*******,*******,*******,anonymous,EN,jhz23,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-11 09:01:49,2022-11-11 09:03:32,IP Address,*******,100,103,True,2022-11-11 09:03:33,R_9TWzeRJNCayk9l7,*******,*******,*******,*******,*******,*******,anonymous,EN,ay283,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-11 09:02:16,2022-11-11 09:03:42,IP Address,*******,100,85,True,2022-11-11 09:03:42,R_1dgH1iW3iZjxgPW,*******,*******,*******,*******,*******,*******,anonymous,EN,Wjy8,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 09:02:59,2022-11-11 09:03:55,IP Address,*******,100,55,True,2022-11-11 09:03:55,R_2uqfOGdddmCDb1S,*******,*******,*******,*******,*******,*******,anonymous,EN,mak448,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,,,,
