StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_6_TEXT,Q21
2022-09-26 01:00:38,2022-09-26 01:29:40,IP Address,*******,100,1742,True,2022-09-26 01:29:40,R_12lmLZ3U20ShjAt,*******,*******,*******,*******,*******,*******,anonymous,EN,eew64,No,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 07:00:12,2022-09-26 07:10:08,IP Address,*******,100,595,True,2022-09-26 07:10:08,R_3foZnS56QPQGTAA,*******,*******,*******,*******,*******,*******,anonymous,EN,cf367,Yes,,,,,,,,,,,,,,Should use mobile device instead of laptop to post,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-25 20:51:56,2022-09-26 08:25:42,IP Address,*******,100,41625,True,2022-09-26 08:25:43,R_2Cwwz4SAGmxMo3M,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 18:30:42,2022-09-26 08:29:08,IP Address,*******,100,50305,True,2022-09-26 08:29:08,R_1MZgophpx26VlAI,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-26 08:25:45,2022-09-26 08:31:37,IP Address,*******,100,352,True,2022-09-26 08:31:38,R_UMl7SZeri4Ioz61,*******,*******,*******,*******,*******,*******,anonymous,EN,al985,No,,,,,,,,,,,,,,,,"Others, please specify",N/A,,,,,,"Others, please specify",N/A,
2022-09-26 09:07:33,2022-09-26 09:12:55,IP Address,*******,100,322,True,2022-09-26 09:12:56,R_1Opo6Fv3Qea9XXQ,*******,*******,*******,*******,*******,*******,anonymous,EN,psp42,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,N/A
2022-09-26 09:15:39,2022-09-26 09:17:39,IP Address,*******,100,120,True,2022-09-26 09:17:40,R_9LAeQXcWjyz68Vj,*******,*******,*******,*******,*******,*******,anonymous,EN,jta52,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,Add a title to the post to summarize the post content,,,,Add a summary list of all posts’ titles in “community” page,,Add links to profiles of whom left comments,,,,N/A
2022-09-26 09:17:40,2022-09-26 09:19:53,IP Address,*******,100,132,True,2022-09-26 09:19:54,R_2E9OWIKN7EmwrtS,*******,*******,*******,*******,*******,*******,anonymous,EN,kv245,Yes,Both weeks when I tried creating a post it gave an error and didn’t upload it,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,Add links to profiles of whom left comments,Add a filter to only see posts by friends,,,
2022-09-26 09:19:04,2022-09-26 09:21:02,IP Address,*******,100,118,True,2022-09-26 09:21:02,R_24cJHeIoBQUaxhW,*******,*******,*******,*******,*******,*******,anonymous,EN,"Sls495 ",No,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 09:21:42,2022-09-26 09:22:55,IP Address,*******,100,72,True,2022-09-26 09:22:56,R_2VBHYzW3LlopcaG,*******,*******,*******,*******,*******,*******,anonymous,EN,jrd327,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 09:24:30,2022-09-26 09:25:35,IP Address,*******,100,64,True,2022-09-26 09:25:35,R_270SirB7BdZjUpr,*******,*******,*******,*******,*******,*******,anonymous,EN,jj526,No,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 09:25:59,2022-09-26 09:28:45,IP Address,*******,100,165,True,2022-09-26 09:28:46,R_2ux0mrzGmqPbMD6,*******,*******,*******,*******,*******,*******,anonymous,EN,gme35,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Should use mobile device instead of laptop to post,,,,,Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 09:27:53,2022-09-26 09:29:57,IP Address,*******,100,124,True,2022-09-26 09:29:57,R_271EIhD8chNXaQd,*******,*******,*******,*******,*******,*******,anonymous,EN,smg377,Yes,"When I posted a comment, the comment still showed up in my text box as though I did not post it.",Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",Add links to profiles of whom left comments,,,,I'm kind of unsure of what the deadline is to post - is it Friday? Saturday? Sunday? No deadline as long as you get the posts in?
2022-09-26 09:29:06,2022-09-26 09:31:24,IP Address,*******,100,137,True,2022-09-26 09:31:24,R_25HPr7i6KiWNmYV,*******,*******,*******,*******,*******,*******,anonymous,EN,ep443,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 09:30:41,2022-09-26 09:32:42,IP Address,*******,100,121,True,2022-09-26 09:32:42,R_3R2v8Xn3erCenYm,*******,*******,*******,*******,*******,*******,anonymous,EN,ic277,Yes,Multiple posts for one person. Multiple comments for one comment.,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,"Others, please specify","a ""like"" button other than cool","Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,No thank you.
2022-09-26 09:31:47,2022-09-26 09:33:18,IP Address,*******,100,90,True,2022-09-26 09:33:18,R_2ygsSxZeAK38ZaH,*******,*******,*******,*******,*******,*******,anonymous,EN,mbh222,Yes,"Photos glitch, comments post twice",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,Add a filter to only see posts by friends,,,
2022-09-26 09:26:38,2022-09-26 09:35:30,IP Address,*******,100,531,True,2022-09-26 09:35:30,R_27eggHda7fXEdSY,*******,*******,*******,*******,*******,*******,anonymous,EN,hys22,No,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 09:34:45,2022-09-26 09:37:03,IP Address,*******,100,138,True,2022-09-26 09:37:04,R_pg5LTweaHoEDNzX,*******,*******,*******,*******,*******,*******,anonymous,EN,sh835,Yes,"after i submitted a comment, the text box still retained the comment I typed, and i often press the send button twice, causing the incorrect submission of two comments.",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 09:37:00,2022-09-26 09:38:56,IP Address,*******,100,115,True,2022-09-26 09:38:57,R_xgT2vuWzbqsFnYB,*******,*******,*******,*******,*******,*******,anonymous,EN,dgh82,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 09:41:15,2022-09-26 09:42:11,IP Address,*******,100,55,True,2022-09-26 09:42:11,R_1llwFZwpAwrA01Y,*******,*******,*******,*******,*******,*******,anonymous,EN,Idz3,No,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 09:41:52,2022-09-26 09:43:09,IP Address,*******,100,77,True,2022-09-26 09:43:10,R_2UbllB0UTOrHN4U,*******,*******,*******,*******,*******,*******,anonymous,EN,tvf6,Yes,the app keeps showing someone else’s picture attached to my post,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 10:04:26,2022-09-26 10:05:46,IP Address,*******,100,79,True,2022-09-26 10:05:47,R_PtWgHpHpAWH39qV,*******,*******,*******,*******,*******,*******,anonymous,EN,pl623,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 10:25:59,2022-09-26 10:28:21,IP Address,*******,100,142,True,2022-09-26 10:28:22,R_1JQq9pACsw5cLou,*******,*******,*******,*******,*******,*******,anonymous,EN,ese47,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 10:29:49,2022-09-26 10:31:24,IP Address,*******,100,94,True,2022-09-26 10:31:24,R_3jch9cDKwapdrLT,*******,*******,*******,*******,*******,*******,anonymous,EN,yt584,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 10:59:45,2022-09-26 11:00:40,IP Address,*******,100,54,True,2022-09-26 11:00:40,R_1Eg5ehsHMimkDVV,*******,*******,*******,*******,*******,*******,anonymous,EN,msr268,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,n/a
2022-09-26 11:09:43,2022-09-26 11:12:54,IP Address,*******,100,190,True,2022-09-26 11:12:54,R_3IWrShvVIBe4lrs,*******,*******,*******,*******,*******,*******,anonymous,EN,dl963,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,,Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 11:35:37,2022-09-26 11:37:31,IP Address,*******,100,113,True,2022-09-26 11:37:31,R_8ldQyN3VbmjVuFP,*******,*******,*******,*******,*******,*******,anonymous,EN,wc465,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",Add links to profiles of whom left comments,,,,"I enjoy participating as it enhances my learning! "
2022-09-26 11:48:00,2022-09-26 11:49:34,IP Address,*******,100,94,True,2022-09-26 11:49:34,R_1DAQj5s6dnossgx,*******,*******,*******,*******,*******,*******,anonymous,EN,cjy27,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 11:56:05,2022-09-26 11:57:45,IP Address,*******,100,99,True,2022-09-26 11:57:45,R_1OVnCtc7yV8dZSL,*******,*******,*******,*******,*******,*******,anonymous,EN,jms834,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Comments should NOT be mandatory,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 12:03:06,2022-09-26 12:04:16,IP Address,*******,100,69,True,2022-09-26 12:04:16,R_1JIMaUpprdHHdVs,*******,*******,*******,*******,*******,*******,anonymous,EN,Llw62,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 12:02:30,2022-09-26 12:05:58,IP Address,*******,100,208,True,2022-09-26 12:05:59,R_ekOoYdG6Z6BHVWp,*******,*******,*******,*******,*******,*******,anonymous,EN,cml324,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 12:04:41,2022-09-26 12:06:18,IP Address,*******,100,96,True,2022-09-26 12:06:19,R_3qkcP7Xudutn97A,*******,*******,*******,*******,*******,*******,anonymous,EN,mrl253,Yes,Image not posting (resolved),Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Comments should NOT be mandatory,,,,,,,,,,Add a filter to only see posts by friends,"Others, please specify",see posts from discussion section groups,no
2022-09-26 12:04:50,2022-09-26 12:24:45,IP Address,*******,100,1195,True,2022-09-26 12:24:45,R_24MduOiEMK4rWz4,*******,*******,*******,*******,*******,*******,anonymous,EN,ama386,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,"Sometimes I am nervous to post an idea in fear that it is not totally correct. If there could be a feature where someone tells you if it is incorrect but in a non-critical way that would be cool for my learning. "
2022-09-26 12:23:44,2022-09-26 12:24:51,IP Address,*******,100,66,True,2022-09-26 12:24:51,R_3iKAdgyrYuwCL04,*******,*******,*******,*******,*******,*******,anonymous,EN,kl983,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,Add a filter to only see posts by friends,,,
2022-09-26 13:07:29,2022-09-26 13:10:17,IP Address,*******,100,167,True,2022-09-26 13:10:17,R_8CCIArinLS8y3ex,*******,*******,*******,*******,*******,*******,anonymous,EN,alm384,Yes,"Whenever I type something up for a post and submit it, the website says it failed. I refresh and my response is gone so I have to retype my entire response. ",Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",Add links to profiles of whom left comments,,,,"This was such a cool concept! Good work "
2022-09-26 14:08:36,2022-09-26 14:09:49,IP Address,*******,100,73,True,2022-09-26 14:09:49,R_6nuH9BL251KKRtn,*******,*******,*******,*******,*******,*******,anonymous,EN,mtq6,Yes,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,Add a title to the post to summarize the post content,,,,,,Add links to profiles of whom left comments,,,,
2022-09-26 14:30:30,2022-09-26 14:33:09,IP Address,*******,100,159,True,2022-09-26 14:33:10,R_20VACum7Fj9YTH2,*******,*******,*******,*******,*******,*******,anonymous,EN,rmb358,No,,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,"Others, please specify","I find using my laptop is better than using my phone to post. ","Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 16:07:56,2022-09-26 16:11:04,IP Address,*******,100,187,True,2022-09-26 16:11:04,R_1pYhV0AAXcwDLwv,*******,*******,*******,*******,*******,*******,anonymous,EN,crd229,Yes,There was often a duplicate made of my post when I posted.,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,N/A
2022-09-26 19:15:46,2022-09-26 19:54:46,IP Address,*******,100,2339,True,2022-09-26 19:54:47,R_RlgAOtZpuDG7Fuh,*******,*******,*******,*******,*******,*******,anonymous,EN,Mc2595,Yes,Posting a comment and then it would show up many / not able to resetting my password so I had to make a new acc,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,,,,,Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 21:23:05,2022-09-26 21:33:09,IP Address,*******,100,604,True,2022-09-26 21:33:10,R_3KxSrxII1mDbT2T,*******,*******,*******,*******,*******,*******,anonymous,EN,ss3298,No,,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 21:49:01,2022-09-26 21:50:42,IP Address,*******,100,100,True,2022-09-26 21:50:42,R_2dtlIFPp9z4QFZw,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
